player_id,player_name,team,season,age,wev_lite,trade_value_seed,availability,offense_value,defense_value,position
HOU-04,Jalen Bishop,HOU,2024,22,3.6,37,0.96,1.8,1.7,F/C
HOU-05,Dante Dalton,HOU,2024,33,2.6,32,0.67,1.3,1.2,PG
HOU-06,Bryce Bennett,HOU,2024,24,1.7,13,0.69,0.5,0.4,SG
IND-01,Silas Brooks,IND,2024,28,9.1,81,0.86,5.2,3.2,C
IND-02,Adrian Mercer,IND,2024,28,7.4,75,0.89,4.4,2.3,G/F
IND-03,Elias Rivers,IND,2024,28,5.4,63,0.88,3.0,2.1,F/C
IND-04,Theo Porter,IND,2024,23,3.0,40,0.76,2.3,1.1,PG
IND-05,Kai Knight,IND,2024,34,1.9,35,0.72,1.4,0.7,SG
IND-06,Tyrese Monroe,IND,2024,19,1.0,15,0.74,1.1,0.3,SF
LAC-01,Kyrie Noble,LAC,2024,29,8.5,84,0.91,5.1,3.6,G/F
LAC-02,Julian Sullivan,LAC,2024,22,6.8,78,0.94,4.3,2.3,F/C
LAC-03,Kellan Bishop,LAC,2024,29,4.8,46,0.68,2.9,2.1,PG
LAC-04,Quentin Dalton,LAC,2024,24,3.4,42,0.81,1.8,1.5,SG
LAC-05,Cedric Bennett,LAC,2024,35,2.3,37,0.77,1.3,1.1,SF
LAC-06,Ashton Warren,LAC,2024,19,1.4,18,0.79,1.0,0.7,PF
LAL-01,Wesley Mercer,LAL,2024,30,8.7,84,0.96,5.0,3.3,F/C
LAL-02,Camden Rivers,LAL,2024,23,7.0,78,0.98,4.2,2.5,PG
LAL-03,Andre Porter,LAL,2024,30,5.1,47,0.73,2.4,2.3,SG
LAL-04,Jasper Knight,LAL,2024,25,3.7,44,0.86,1.8,1.6,SF
LAL-05,Soren Monroe,LAL,2024,38,2.6,19,0.82,1.2,0.8,PF
LAL-06,Devin Ford,LAL,2024,20,1.7,19,0.58,0.9,0.4,C
MEM-01,Darius Sullivan,MEM,2024,24,8.6,80,1.00,4.6,3.4,PG
MEM-02,Isaiah Bishop,MEM,2024,24,6.9,74,0.78,3.3,2.6,SG
MEM-03,Roman Dalton,MEM,2024,31,4.9,42,0.78,1.9,1.9,SF
MEM-04,Rafael Bennett,MEM,2024,26,2.8,43,0.92,1.3,1.3,PF
MEM-05,Cole Warren,MEM,2024,30,1.7,18,0.49,0.8,0.9,C
MEM-06,Mason Fleming,MEM,2024,21,0.8,18,0.64,0.5,0.5,G/F
MIA-01,Micah Rivers,MIA,2024,25,8.3,88,0.81,4.6,3.4,SG
MIA-02,Marcus Porter,MIA,2024,25,6.7,82,0.83,3.7,2.6,SF
MIA-03,Miles Knight,MIA,2024,32,4.7,50,0.83,2.3,2.4,PF
MIA-04,Emory Monroe,MIA,2024,20,3.3,47,0.96,1.7,1.8,C
MIA-05,Silas Ford,MIA,2024,31,2.3,22,0.67,1.2,1.4,G/F
MIA-06,Adrian Lawson,MIA,2024,22,1.4,22,0.69,0.5,0.5,F/C
MIL-01,Nolan Bishop,MIL,2024,26,8.8,90,0.86,5.0,3.3,SF
MIL-02,Gavin Dalton,MIL,2024,26,7.1,84,0.89,4.2,2.5,PF
MIL-03,Luca Bennett,MIL,2024,33,5.1,53,0.88,2.8,2.3,C
MIL-04,Zion Warren,MIL,2024,21,3.7,49,0.76,2.2,1.3,G/F
MIL-05,Kyrie Fleming,MIL,2024,32,2.6,24,0.72,1.3,0.9,F/C
MIL-06,Julian Caldwell,MIL,2024,23,1.8,24,0.74,0.9,0.4,PG
MIN-01,Jalen Porter,MIN,2024,27,9.3,94,0.91,4.9,4.0,PF
MIN-02,Dante Knight,MIN,2024,27,7.6,69,0.94,4.1,2.8,C
MIN-03,Bryce Monroe,MIN,2024,27,5.6,57,0.68,2.7,2.5,G/F
MIN-04,Jonah Ford,MIN,2024,22,3.1,52,0.81,1.6,1.9,F/C
MIN-05,Wesley Lawson,MIN,2024,33,2.0,27,0.77,1.1,1.5,PG
MIN-06,Camden Hudson,MIN,2024,24,1.1,27,0.79,0.8,1.1,SG
NOP-01,Theo Dalton,NOP,2024,28,8.4,94,0.96,5.1,3.5,C
NOP-02,Kai Bennett,NOP,2024,28,6.7,68,0.98,4.2,2.7,G/F
NOP-03,Tyrese Warren,NOP,2024,28,4.8,56,0.73,2.4,2.4,F/C
NOP-04,Arlo Fleming,NOP,2024,23,3.4,33,0.86,1.8,1.8,PG
NOP-05,Darius Caldwell,NOP,2024,34,2.3,28,0.82,1.3,1.0,SG
NOP-06,Isaiah Griffin,NOP,2024,19,1.4,28,0.58,1.0,0.6,SF
NYK-01,Quentin Knight,NYK,2024,29,8.8,95,1.00,5.1,3.7,G/F
NYK-02,Cedric Monroe,NYK,2024,22,7.1,70,0.78,3.9,2.9,F/C
NYK-03,Ashton Ford,NYK,2024,29,5.1,58,0.78,2.5,2.2,PG
NYK-04,Terrence Lawson,NYK,2024,24,3.7,35,0.92,1.9,1.6,SG
NYK-05,Micah Hudson,NYK,2024,35,2.7,30,0.62,1.3,1.2,SF
NYK-06,Marcus Bell,NYK,2024,19,1.8,10,0.64,1.0,0.8,PF
OKC-01,Jasper Bennett,OKC,2024,30,9.3,95,0.81,5.0,3.4,F/C
OKC-02,Soren Warren,OKC,2024,23,7.6,74,0.83,4.2,2.6,PG
OKC-03,Devin Fleming,OKC,2024,30,5.7,62,0.83,2.8,2.4,SG
OKC-04,Malik Caldwell,OKC,2024,25,3.1,38,0.96,2.1,1.8,SF
OKC-05,Nolan Griffin,OKC,2024,29,2.0,33,0.67,1.6,1.4,PF
OKC-06,Gavin Cross,OKC,2024,20,1.1,13,0.69,0.9,0.5,C
ORL-01,Rafael Monroe,ORL,2024,24,8.4,95,0.86,4.6,3.7,PG
ORL-02,Cole Ford,ORL,2024,24,6.7,73,0.89,3.8,2.8,SG
ORL-03,Mason Lawson,ORL,2024,31,4.7,61,0.88,2.4,2.6,SF
ORL-04,Tobias Hudson,ORL,2024,26,3.3,38,0.76,1.8,1.6,PF
ORL-05,Jalen Bell,ORL,2024,30,2.3,33,0.72,0.8,1.2,C
ORL-06,Dante Brooks,ORL,2024,21,1.4,13,0.74,0.5,0.8,G/F
PHI-01,Emory Warren,PHI,2024,25,8.7,81,0.91,5.0,3.6,SG
PHI-02,Silas Fleming,PHI,2024,25,7.0,75,0.94,4.2,2.3,SF
PHI-03,Adrian Caldwell,PHI,2024,32,5.1,63,0.68,2.8,2.1,PF
PHI-04,Elias Griffin,PHI,2024,20,3.7,40,0.81,1.8,1.5,C
PHI-05,Theo Cross,PHI,2024,31,2.6,35,0.77,1.2,1.1,G/F
PHI-06,Kai Noble,PHI,2024,22,1.7,15,0.79,0.9,0.7,F/C
PHX-01,Zion Ford,PHX,2024,26,9.1,83,0.96,5.1,3.3,SF
PHX-02,Kyrie Lawson,PHX,2024,26,7.5,77,0.98,4.3,2.5,PF
PHX-03,Julian Hudson,PHX,2024,33,5.5,45,0.73,2.5,2.3,C
PHX-04,Kellan Bell,PHX,2024,21,3.0,42,0.86,1.9,1.6,G/F
PHX-05,Quentin Brooks,PHX,2024,32,1.9,37,0.82,1.3,0.8,F/C
PHX-06,Cedric Mercer,PHX,2024,23,1.0,17,0.58,1.0,0.4,PG
POR-01,Jonah Fleming,POR,2024,27,7.7,77,1.00,4.5,3.3,PF
POR-02,Wesley Caldwell,POR,2024,27,6.1,71,0.78,3.2,2.5,C
POR-03,Camden Griffin,POR,2024,27,4.1,39,0.78,1.8,1.8,G/F
POR-04,Andre Cross,POR,2024,22,3.1,40,0.92,1.2,1.2,F/C
POR-05,Jasper Noble,POR,2024,33,2.0,15,0.62,0.7,0.8,PG
POR-06,Soren Sullivan,POR,2024,24,1.1,15,0.44,0.4,0.4,SG
SAC-01,Arlo Lawson,SAC,2024,28,8.7,86,0.81,4.8,3.2,C
SAC-02,Darius Hudson,SAC,2024,28,7.0,80,0.83,4.0,2.4,G/F
SAC-03,Isaiah Bell,SAC,2024,28,5.0,48,0.83,2.6,2.2,F/C
SAC-04,Roman Brooks,SAC,2024,23,3.7,45,0.96,2.0,1.5,PG
SAC-05,Rafael Mercer,SAC,2024,34,2.6,20,0.67,1.5,1.1,SG
SAC-06,Cole Rivers,SAC,2024,19,1.7,20,0.69,0.7,0.3,SF
SAS-01,Terrence Caldwell,SAS,2024,29,8.5,80,0.86,4.4,3.2,G/F
SAS-02,Micah Griffin,SAS,2024,22,6.8,74,0.89,3.6,2.4,F/C
SAS-03,Marcus Cross,SAS,2024,29,4.8,43,0.88,2.2,2.2,PG
SAS-04,Miles Noble,SAS,2024,24,2.7,44,0.76,1.6,1.1,SG
SAS-05,Emory Sullivan,SAS,2024,35,1.6,19,0.72,0.6,0.7,SF
SAS-06,Silas Bishop,SAS,2024,19,0.8,19,0.74,0.3,0.3,PF
TOR-01,Malik Hudson,TOR,2024,30,7.8,83,0.91,4.5,3.3,F/C
TOR-02,Nolan Bell,TOR,2024,23,6.2,77,0.94,3.7,2.1,PG
TOR-03,Gavin Brooks,TOR,2024,30,4.2,45,0.68,2.3,1.9,SG
TOR-04,Luca Mercer,TOR,2024,25,3.1,46,0.81,1.3,1.3,SF
TOR-05,Zion Rivers,TOR,2024,29,2.0,21,0.77,0.8,0.9,PF
TOR-06,Kyrie Porter,TOR,2024,20,1.1,21,0.79,0.4,0.4,C
UTA-01,Tobias Griffin,UTA,2024,24,8.3,87,0.96,4.7,3.1,PG
UTA-02,Jalen Cross,UTA,2024,24,6.7,61,0.98,3.9,2.3,SG
UTA-03,Dante Noble,UTA,2024,31,4.7,49,0.73,2.1,2.1,SF
UTA-04,Bryce Sullivan,UTA,2024,26,3.5,49,0.86,1.5,1.4,PF
UTA-05,Jonah Bishop,UTA,2024,30,2.5,24,0.82,0.9,0.6,C
UTA-06,Wesley Dalton,UTA,2024,21,1.6,24,0.58,0.6,0.2,G/F
WAS-01,Elias Bell,WAS,2024,25,8.3,84,1.00,4.5,3.1,SG
WAS-02,Theo Brooks,WAS,2024,25,6.6,58,0.78,3.3,2.3,SF
WAS-03,Kai Mercer,WAS,2024,32,4.7,46,0.78,1.9,1.7,PF
WAS-04,Tyrese Rivers,WAS,2024,20,2.6,29,0.92,1.3,1.0,C
WAS-05,Arlo Porter,WAS,2024,31,1.6,24,0.62,0.8,0.6,G/F
WAS-06,Darius Knight,WAS,2024,19,0.5,10,0.40,0.4,0.2,F/C
